Offense_Description,Report_Date,Full_Address
Theft: Auto Parts,07/27/2014 12:00:00 AM,6201 MERCEDES BND                                                                                   Austin TX 78759
Aggravated Assault,01/14/2014 12:00:00 AM,906 1/2 E 38TH ST                                                                                   Austin TX 78751
Theft: All Other Larceny,09/23/2014 12:00:00 AM,2104 BERKETT DR                                                                                     Austin TX 78745
Theft: BOV,12/10/2014 12:00:00 AM,9012 RESEARCH BLVD SVRD SB                                                                          Austin TX 78757
Theft: BOV,09/18/2014 12:00:00 AM,300 CONGRESS AVE                                                                                    Austin TX 78701
Theft: Auto Theft,10/29/2014 12:00:00 AM,11511 METRIC BLVD                                                                                   Austin TX 78758
Theft: BOV,01/16/2014 12:00:00 AM,9215 GREAT HILLS TRL                                                                                Austin TX 78759
Theft: All Other Larceny,01/09/2014 12:00:00 AM,1030 NORWOOD PARK BLVD                                                                              Austin TX 78753
Theft: All Other Larceny,07/22/2014 12:00:00 AM,5808 BURNET RD                                                                                      Austin TX 78756
Theft: BOV,04/01/2014 12:00:00 AM,30 ESPINOSA DR                                                                                      Austin TX 78744
Aggravated Assault,04/08/2014 12:00:00 AM,500 E 7TH ST                                                                                        Austin TX 78701
Theft: BOV,10/08/2014 12:00:00 AM,2250 RIDGEPOINT DR                                                                                  Austin TX 78754
Theft: BOV,04/16/2014 12:00:00 AM,2515 PEARL ST                                                                                       Austin TX 78705
Theft: All Other Larceny,03/20/2014 12:00:00 AM,9100 WATERFORD CENTRE BLVD                                                                          Austin TX 78758
Theft: All Other Larceny,11/19/2014 12:00:00 AM,1200 E PARMER LN                                                                                    Austin TX 78753
Theft: All Other Larceny,08/07/2014 12:00:00 AM,7112 ED BLUESTEIN BLVD SVRD SB                                                                      Austin TX 78723
Theft: All Other Larceny,04/17/2014 12:00:00 AM,8540 ADIRONDACK TRL                                                                                 Austin TX 78759
Theft: Shoplifting,08/13/2014 12:00:00 AM,107 W STASSNEY LN                                                                                   Austin TX 78745
Theft: BOV,02/10/2014 12:00:00 AM,1800 E STASSNEY LN                                                                                  Austin TX 78744
Theft: All Other Larceny,06/26/2014 12:00:00 AM,8225 N FM 620 RD                                                                                    Austin TX 78726
Theft: Auto Theft,11/21/2014 12:00:00 AM,7100 N IH 35 SVRD SB                                                                                Austin TX 78752
Theft: All Other Larceny,11/07/2014 12:00:00 AM,4825 DAVIS LN                                                                                       Austin TX 78749
Theft: Auto Theft,01/04/2014 12:00:00 AM,4504 FRANKLIN PARK DR                                                                               Austin TX 78744
Theft: Shoplifting,10/08/2014 12:00:00 AM,823 CONGRESS AVE                                                                                    Austin TX 78701
Theft: All Other Larceny,12/19/2014 12:00:00 AM,1167 WEBBERVILLE RD                                                                                 Austin TX 78721
Theft: BOV,09/30/2014 12:00:00 AM,13310 BENNINGTON LN                                                                                 Austin TX 78753
Burglary: Breaking & Entering,04/18/2014 12:00:00 AM,4700 E RIVERSIDE DR                                                                                 Austin TX 78741
Burglary: Breaking & Entering,09/15/2014 12:00:00 AM,5310 PONCIANA DR                                                                                    Austin TX 78744
Theft: BOV,03/19/2014 12:00:00 AM,3300 PARKER LN                                                                                      Austin TX 78741
Theft: BOV,05/12/2014 12:00:00 AM,8312 N IH 35 SVRD SB                                                                                Austin TX 78753
Burglary: Breaking & Entering,11/24/2014 12:00:00 AM,1701 ALEGRIA RD                                                                                     Austin TX 78757
Theft: Shoplifting,09/24/2014 12:00:00 AM,12250 RESEARCH BLVD NB                                                                              Austin TX 78727
Theft: Shoplifting,10/06/2014 12:00:00 AM,1000 E 41ST ST                                                                                      Austin TX 78751
Theft: Auto Theft,10/31/2014 12:00:00 AM,9435 MIDDLE FISKVILLE RD                                                                            Austin TX 78753
Burglary: Breaking & Entering,10/05/2014 12:00:00 AM,12041 DESSAU RD                                                                                     Austin TX 78754
Theft: Auto Parts,05/05/2014 12:00:00 AM,10504 PLAINS TRL                                                                                    Austin TX 78758
Homicide: Murder & Non-negligent Manslaughter,10/28/2014 12:00:00 AM,2606 WHELESS LN                                                                                     Austin TX 78723
Theft: Auto Theft,05/18/2014 12:00:00 AM,1651 CHIPPEWAY LN                                                                                   Austin TX 78745
Theft: BOV,10/09/2014 12:00:00 AM,9070 RESEARCH BLVD SB                                                                               Austin TX 78757
Theft: BOV,11/21/2014 12:00:00 AM,2239 CROMWELL CIR                                                                                   Austin TX 78741
Theft: All Other Larceny,07/22/2014 12:00:00 AM,3309 HARRIS PARK AVE                                                                                Austin TX 78705
Burglary: Breaking & Entering,06/19/2014 12:00:00 AM,1419 TALL SHADOWS DR                                                                                Austin TX 78617
Theft: BOV,06/19/2014 12:00:00 AM,715 W SLAUGHTER LN                                                                                  Austin TX 78748
Theft: All Other Larceny,03/31/2014 12:00:00 AM,2304 LAKE AUSTIN BLVD                                                                               Austin TX 78703
Theft: All Other Larceny,11/09/2014 12:00:00 AM,701 CONGRESS AVE                                                                                    Austin TX 78701
Theft: Shoplifting,01/27/2014 12:00:00 AM,710 E BEN WHITE BLVD SVRD WB                                                                        Austin TX 78704
Theft: All Other Larceny,04/30/2014 12:00:00 AM,701 W 28TH ST                                                                                       Austin TX 78705
Burglary: Breaking & Entering,02/08/2014 12:00:00 AM,9009 NORTH PLZ                                                                                      Austin TX 78753
Theft: All Other Larceny,04/23/2014 12:00:00 AM,1030 NORWOOD PARK BLVD                                                                              Austin TX 78753
Theft: BOV,11/04/2014 12:00:00 AM,11680 RESEARCH BLVD SVRD SB                                                                         Austin TX 78759
Aggravated Assault,02/04/2014 12:00:00 AM,E 13TH ST / CEDAR AVE                                                                               Austin TX 78702
Theft: BOV,05/17/2014 12:00:00 AM,NAVASOTA ST / E 6TH ST                                                                              Austin TX 78702
Theft: Pocket Picking,05/31/2014 12:00:00 AM,7545 N LAMAR BLVD                                                                                   Austin TX 78752
Theft: Auto Parts,09/11/2014 12:00:00 AM,7500 BENNETT AVE                                                                                    Austin TX 78752
Theft: All Other Larceny,06/23/2014 12:00:00 AM,11432 PTARMIGAN DR                                                                                  Austin TX 78758
Theft: Auto Theft,09/18/2014 12:00:00 AM,1600 TOOMEY RD                                                                                      Austin TX 78704
Burglary: Breaking & Entering,10/17/2014 12:00:00 AM,1124 RUTLAND DR                                                                                     Austin TX 78758
Theft: All Other Larceny,11/02/2014 12:00:00 AM,12424 RESEARCH BLVD SVRD SB                                                                         Austin TX 78759
Robbery,04/01/2014 12:00:00 AM,2223 BURTON DR                                                                                      Austin TX 78741
Theft: Shoplifting,11/08/2014 12:00:00 AM,12900 N IH 35 SB                                                                                    Austin TX 78753
Theft: Shoplifting,02/20/2014 12:00:00 AM,2508 E RIVERSIDE DR                                                                                 Austin TX 78741
Theft: All Other Larceny,10/28/2014 12:00:00 AM,2110 SPEEDWAY                                                                                       Austin TX 78705
Theft: Shoplifting,07/07/2014 12:00:00 AM,1030 NORWOOD PARK BLVD                                                                              Austin TX 78753
Theft: All Other Larceny,01/06/2014 12:00:00 AM,2300 W BEN WHITE BLVD SVRD WB                                                                       Austin TX 78704
Theft: Shoplifting,01/01/2014 12:00:00 AM,12901 N IH 35 SVRD NB                                                                               Austin TX 78753
Robbery,06/22/2014 12:00:00 AM,5804 S CONGRESS AVE                                                                                 Austin TX 78745
Burglary: Breaking & Entering,04/04/2014 12:00:00 AM,1112 GUNTER ST                                                                                      Austin TX 78702
Theft: BOV,06/22/2014 12:00:00 AM,9212 BENTLEY GARNER LN                                                                              Austin TX 78748
Theft: BOV,09/19/2014 12:00:00 AM,10615 CLAYWOOD DR                                                                                   Austin TX 78753
Theft: All Other Larceny,11/11/2014 12:00:00 AM,514 E 6TH ST                                                                                        Austin TX 78701
Theft: All Other Larceny,09/02/2014 12:00:00 AM,2008 TERI RD                                                                                        Austin TX 78744
Theft: All Other Larceny,06/28/2014 12:00:00 AM,15424 FM 1825 RD                                                                                    Austin TX 78660
Theft: BOV,11/13/2014 12:00:00 AM,501 LONE OAK DR                                                                                     Austin TX 78704
Theft: All Other Larceny,02/04/2014 12:00:00 AM,7316 CAMERON RD                                                                                     Austin TX 78752
Theft: Auto Theft,03/13/2014 12:00:00 AM,1600 E 4TH ST                                                                                       Austin TX 78702
Theft: BOV,12/19/2014 12:00:00 AM,2208 S LAMAR BLVD                                                                                   Austin TX 78704
Theft: All Other Larceny,02/03/2014 12:00:00 AM,E 6TH ST / TRINITY ST                                                                               Austin TX 78701
Burglary: Breaking & Entering,04/05/2014 12:00:00 AM,217 LOGANBERRY CT                                                                                   Austin TX 78745
Theft: BOV,07/28/2014 12:00:00 AM,12110 LAVINIA LN                                                                                    Austin TX 78753
Theft: BOV,05/14/2014 12:00:00 AM,2200 PARK BEND DR                                                                                   Austin TX 78758
Theft: Coin Op Machine,05/19/2014 12:00:00 AM,4009 VICTORY DR                                                                                     Austin TX 78704
Theft: All Other Larceny,02/28/2014 12:00:00 AM,2525 W ANDERSON LN                                                                                  Austin TX 78757
Theft: Shoplifting,03/16/2014 12:00:00 AM,2901 S CAPITAL OF TEXAS HWY NB                                                                      Austin TX 78746
Theft: BOV,08/22/2014 12:00:00 AM,117 W WILLIAM CANNON DR                                                                             Austin TX 78745
Burglary: Breaking & Entering,03/05/2014 12:00:00 AM,6701 CARISBROOKE LN                                                                                 Austin TX 78754
Theft: All Other Larceny,12/01/2014 12:00:00 AM,2401 SAN GABRIEL ST                                                                                 Austin TX 78705
Theft: Shoplifting,09/15/2014 12:00:00 AM,2508 E RIVERSIDE DR                                                                                 Austin TX 78741
Theft: All Other Larceny,05/16/2014 12:00:00 AM,500 E 7TH ST                                                                                        Austin TX 78701
Theft: All Other Larceny,05/21/2014 12:00:00 AM,2103 W ANDERSON LN                                                                                  Austin TX 78757
Theft: BOV,11/25/2014 12:00:00 AM,1200 E 5TH ST                                                                                       Austin TX 78702
Theft: All Other Larceny,11/01/2014 12:00:00 AM,E 6TH ST / CONGRESS AVE                                                                             Austin TX 78701
Burglary: Breaking & Entering,05/28/2014 12:00:00 AM,1401 E RUNDBERG LN                                                                                  Austin TX 78753
Theft: BOV,11/05/2014 12:00:00 AM,1705 FRONTIER VALLEY DR                                                                             Austin TX 78741
Theft: BOV,12/03/2014 12:00:00 AM,6205 WAGON BEND TRL                                                                                 Austin TX 78744
Burglary: Breaking & Entering,07/02/2014 12:00:00 AM,1304 ROBERT E LEE RD                                                                                Austin TX 78704
Theft: All Other Larceny,03/26/2014 12:00:00 AM,2900 DANCY ST                                                                                       Austin TX 78722
Theft: All Other Larceny,08/26/2014 12:00:00 AM,4646 CHATEAU VILLAGE WAY                                                                            Austin TX 78744
Theft: Coin Op Machine,02/24/2014 12:00:00 AM,11113 RESEARCH BLVD SVRD NB                                                                         Austin TX 78759
Theft: BOV,06/17/2014 12:00:00 AM,8901 BUSINESS PARK DR                                                                               Austin TX 78759
Aggravated Assault,12/29/2014 12:00:00 AM,9027 NORTHGATE BLVD                                                                                 Austin TX 78758
Theft: BOV,03/25/2014 12:00:00 AM,6704 GOLD MOSS CV                                                                                   Austin TX 78745
Theft: Shoplifting,10/09/2014 12:00:00 AM,2901 S CAPITAL OF TEXAS HWY NB                                                                      Austin TX 78746
Theft: BOV,08/13/2014 12:00:00 AM,2901 S CAPITAL OF TEXAS HWY NB                                                                      Austin TX 78746
Theft: All Other Larceny,12/15/2014 12:00:00 AM,2806 PRADO ST                                                                                       Austin TX 78702
Robbery,10/10/2014 12:00:00 AM,7800 N IH 35 SVRD SB                                                                                Austin TX 78753
Theft: All Other Larceny,06/15/2014 12:00:00 AM,500 E 8TH ST                                                                                        Austin TX 78701
Theft: All Other Larceny,06/06/2014 12:00:00 AM,2508 E RIVERSIDE DR                                                                                 Austin TX 78741
Theft: BOV,04/04/2014 12:00:00 AM,6801 TULANE DR                                                                                      Austin TX 78723
Theft: All Other Larceny,06/10/2014 12:00:00 AM,2607 S IH 35 SVRD NB                                                                                Austin TX 78741
Theft: All Other Larceny,11/02/2014 12:00:00 AM,710 W 6TH ST                                                                                        Austin TX 78701
Theft: All Other Larceny,05/18/2014 12:00:00 AM,3901 EDWARDS MOUNTAIN DR                                                                            Austin TX 78731
Theft: Shoplifting,06/03/2014 12:00:00 AM,525 N LAMAR BLVD                                                                                    Austin TX 78703
Aggravated Assault,04/20/2014 12:00:00 AM,2017 GREENBROOK PKWY                                                                                Austin TX 78723
Theft: All Other Larceny,08/12/2014 12:00:00 AM,6313 CRUMLEY LN                                                                                     Austin TX 78741
Aggravated Assault,03/22/2014 12:00:00 AM,1881 GROVE BLVD                                                                                     Austin TX 78741
Theft: All Other Larceny,01/06/2014 12:00:00 AM,6121 N IH 35 NB                                                                                     Austin TX 78752
Aggravated Assault,09/20/2014 12:00:00 AM,1030 NORWOOD PARK BLVD                                                                              Austin TX 78753
Theft: BOV,08/16/2014 12:00:00 AM,2220 E RIVERSIDE DR                                                                                 Austin TX 78741
Theft: Shoplifting,06/11/2014 12:00:00 AM,1030 NORWOOD PARK BLVD                                                                              Austin TX 78753
Theft: BOV,04/29/2014 12:00:00 AM,611 TRINITY ST                                                                                      Austin TX 78701
Theft: BOV,07/30/2014 12:00:00 AM,500 COMAL ST                                                                                        Austin TX 78702
Theft: All Other Larceny,09/08/2014 12:00:00 AM,710 E BEN WHITE BLVD WB                                                                             Austin TX 78704
Theft: BOV,10/03/2014 12:00:00 AM,11012 GEORGIAN DR                                                                                   Austin TX 78753
Theft: BOV,12/17/2014 12:00:00 AM,12332 THOMPKINS DR                                                                                  Austin TX 78753
Theft: BOV,05/16/2014 12:00:00 AM,1801 POQUITO ST                                                                                     Austin TX 78702
Theft: BOV,01/30/2014 12:00:00 AM,3316 GUADALUPE ST                                                                                   Austin TX 78705
Theft: All Other Larceny,02/02/2014 12:00:00 AM,7016 SUNDERLAND TRL                                                                                 Austin TX 78747
Theft: All Other Larceny,02/01/2014 12:00:00 AM,2607 S IH 35 NB                                                                                     Austin TX 78741
Theft: Auto Theft,04/07/2014 12:00:00 AM,3902 PALOMAR LN                                                                                     Austin TX 78727
Theft: BOV,07/25/2014 12:00:00 AM,2500 WINCHELL LN                                                                                    Austin TX 78725
Theft: Shoplifting,06/21/2014 12:00:00 AM,525 N LAMAR BLVD                                                                                    Austin TX 78703
Theft: BOV,07/13/2014 12:00:00 AM,1510 TOOMEY RD                                                                                      Austin TX 78704
Theft: Shoplifting,12/22/2014 12:00:00 AM,2901 S CAPITAL OF TEXAS HWY NB                                                                      Austin TX 78746
Burglary: Breaking & Entering,11/21/2014 12:00:00 AM,1500 BARTON SPRINGS RD                                                                              Austin TX 78704
Theft: BOV,02/14/2014 12:00:00 AM,9504 NIGHT STAR DR                                                                                  Austin TX 78617
Theft: Shoplifting,06/14/2014 12:00:00 AM,3431 W WILLIAM CANNON DR                                                                            Austin TX 78745
Burglary: Breaking & Entering,10/25/2014 12:00:00 AM,911 E 3RD ST                                                                                        Austin TX 78702
Theft: All Other Larceny,02/27/2014 12:00:00 AM,2400 S CONGRESS AVE                                                                                 Austin TX 78704
Burglary: Breaking & Entering,03/09/2014 12:00:00 AM,6001 RANDLEMAN DR                                                                                   Austin TX 78617
Burglary: Breaking & Entering,11/13/2014 12:00:00 AM,1101 GROVE BLVD                                                                                     Austin TX 78741
Burglary: Breaking & Entering,09/16/2014 12:00:00 AM,2906 WEST AVE                                                                                       Austin TX 78705
