Offense_Description,Report_Date,Full_Address
Robbery,02/01/2014 12:00:00 AM,700 NECHES ST                                                                                       Austin TX 78701
Theft: All Other Larceny,05/22/2014 12:00:00 AM,10503 GOLDEN MEADOW DR                                                                              Austin TX 78758
Burglary: Breaking & Entering,11/11/2014 12:00:00 AM,1901 ONION CREEK PKWY                                                                               Austin TX 78748
Theft: BOV,08/14/2014 12:00:00 AM,5115 FAIRVIEW DR                                                                                    Austin TX 78731
Robbery,12/08/2014 12:00:00 AM,2000 BLOCK SAN ANTONIO ST                                                                           Austin TX 78705
Theft: BOV,07/06/2014 12:00:00 AM,EAST AVE / CUMMINGS ST                                                                              Austin TX 78701
Theft: All Other Larceny,02/07/2014 12:00:00 AM,5330 N IH 35 SVRD SB                                                                                Austin TX 78751
Theft: All Other Larceny,03/28/2014 12:00:00 AM,2200 S PLEASANT VALLEY RD                                                                           Austin TX 78741
Burglary: Breaking & Entering,02/07/2014 12:00:00 AM,8312 N IH 35 SVRD SB                                                                                Austin TX 78753
Burglary: Breaking & Entering,04/29/2014 12:00:00 AM,846 LATTERIDGE DR                                                                                   Austin TX 78748
Theft: Auto Theft,03/02/2014 12:00:00 AM,9300 S IH 35 SVRD SB                                                                                Austin TX 78748
Theft: Shoplifting,08/31/2014 12:00:00 AM,1030 NORWOOD PARK BLVD                                                                              Austin TX 78753
Theft: All Other Larceny,03/29/2014 12:00:00 AM,2907 PARKER LN                                                                                      Austin TX 78741
Theft: BOV,04/27/2014 12:00:00 AM,200 LE GRANDE AVE                                                                                   Austin TX 78704
Theft: All Other Larceny,10/20/2014 12:00:00 AM,9345 E US 290 HWY EB                                                                                Austin TX 78724
Robbery,08/18/2014 12:00:00 AM,7715 E BEN WHITE BLVD EB                                                                            Austin TX 78744
Theft: Pocket Picking,11/06/2014 12:00:00 AM,2112 GUADALUPE ST                                                                                   Austin TX 78705
Burglary: Breaking & Entering,11/13/2014 12:00:00 AM,2203 SALINA ST                                                                                      Austin TX 78722
Theft: All Other Larceny,11/06/2014 12:00:00 AM,2422 WESTERN TRAILS BLVD                                                                            Austin TX 78745
Theft: Shoplifting,04/26/2014 12:00:00 AM,7025 VILLAGE CENTER DR                                                                              Austin TX 78731
Theft: All Other Larceny,04/17/2014 12:00:00 AM,3801 BERKMAN DR                                                                                     Austin TX 78723
Burglary: Breaking & Entering,05/16/2014 12:00:00 AM,4603 ROSEDALE AVE                                                                                   Austin TX 78756
Theft: BOV,01/27/2014 12:00:00 AM,2819 FOSTER LN                                                                                      Austin TX 78757
Theft: BOV,08/28/2014 12:00:00 AM,7513 N IH 35 SVRD NB                                                                                Austin TX 78752
Aggravated Assault,07/10/2014 12:00:00 AM,2201 ALEXANDER AVE                                                                                  Austin TX 78722
Theft: All Other Larceny,01/24/2014 12:00:00 AM,1030 NORWOOD PARK BLVD                                                                              Austin TX 78753
Theft: All Other Larceny,02/01/2014 12:00:00 AM,2929 S LAMAR BLVD                                                                                   Austin TX 78704
Theft: BOV,11/21/2014 12:00:00 AM,2100 BARTON SPRINGS RD                                                                              Austin TX 78746
Theft: All Other Larceny,02/18/2014 12:00:00 AM,1207 ELM ST                                                                                         Austin TX 78703
Theft: BOV,08/02/2014 12:00:00 AM,2000 BLOCK FARO DR                                                                                  Austin TX 78741
Theft: BOV,01/21/2014 12:00:00 AM,8515 BRODIE LN                                                                                      Austin TX 78745
Theft: All Other Larceny,05/15/2014 12:00:00 AM,2400 S CONGRESS AVE                                                                                 Austin TX 78704
Burglary: Breaking & Entering,08/10/2014 12:00:00 AM,1647 RUTLAND DR                                                                                     Austin TX 78758
Theft: BOV,06/28/2014 12:00:00 AM,1420 SUFFOLK DR                                                                                     Austin TX 78723
Burglary: Breaking & Entering,02/05/2014 12:00:00 AM,8519 DAVIS OAKS TRL                                                                                 Austin TX 78748
Theft: BOV,01/16/2014 12:00:00 AM,4800 WEST FRANCES PL                                                                                Austin TX 78731
Burglary: Breaking & Entering,04/14/2014 12:00:00 AM,4207 SMITH SCHOOL RD                                                                                Austin TX 78744
Theft: All Other Larceny,07/26/2014 12:00:00 AM,E 12TH ST / HARVEY ST                                                                               Austin TX 78702
Theft: Auto Theft,03/14/2014 12:00:00 AM,625 E STASSNEY LN                                                                                   Austin TX 78745
Theft: BOV,10/26/2014 12:00:00 AM,8001 S IH 35 SVRD NB                                                                                Austin TX 78744
Theft: BOV,11/17/2014 12:00:00 AM,2120 E 7TH ST                                                                                       Austin TX 78702
Theft: Shoplifting,01/25/2014 12:00:00 AM,1030 NORWOOD PARK BLVD                                                                              Austin TX 78753
Theft: Auto Parts,02/23/2014 12:00:00 AM,600 BARWOOD PARK                                                                                    Austin TX 78753
Theft: Shoplifting,09/25/2014 12:00:00 AM,2110 W SLAUGHTER LN                                                                                 Austin TX 78748
Theft: Auto Theft,11/25/2014 12:00:00 AM,3603 SOUTHRIDGE DR                                                                                  Austin TX 78704
Theft: All Other Larceny,07/16/2014 12:00:00 AM,3708 S 2ND ST                                                                                       Austin TX 78704
Theft: BOV,12/20/2014 12:00:00 AM,904 W 22ND HALF ST                                                                                  Austin TX 78705
Theft: BOV,05/09/2014 12:00:00 AM,2222 PARKWAY                                                                                        Austin TX 78703
Burglary: Breaking & Entering,12/02/2014 12:00:00 AM,1100 E OLTORF ST                                                                                    Austin TX 78704
Theft: Shoplifting,01/24/2014 12:00:00 AM,2901 S CAPITAL OF TEXAS HWY NB                                                                      Austin TX 78746
Theft: All Other Larceny,08/23/2014 12:00:00 AM,500 E 7TH ST                                                                                        Austin TX 78701
Theft: BOV,06/11/2014 12:00:00 AM,8305 NICOLA TRL                                                                                     Austin TX 78745
Theft: Pocket Picking,12/22/2014 12:00:00 AM,JAMES HALLER DR / CHAPPELL LN                                                                       Austin TX 78748
Theft: Shoplifting,09/15/2014 12:00:00 AM,1706 E WILLIAM CANNON DR                                                                            Austin TX 78744
Theft: Coin Op Machine,03/17/2014 12:00:00 AM,12860 N US 183 HWY SVRD SB                                                                          Austin TX 78750
Theft: All Other Larceny,06/23/2014 12:00:00 AM,2028 S LAMAR BLVD                                                                                   Austin TX 78704
Theft: BOV,04/01/2014 12:00:00 AM,2819 FOSTER LN                                                                                      Austin TX 78757
Theft: BOV,10/24/2014 12:00:00 AM,800 W JAMES ST                                                                                      Austin TX 78704
Robbery,08/14/2014 12:00:00 AM,E 3RD ST / N IH 35 SVRD SB                                                                          Austin TX 78701
Theft: All Other Larceny,11/22/2014 12:00:00 AM,10901 N LAMAR BLVD                                                                                  Austin TX 78753
Theft: All Other Larceny,06/09/2014 12:00:00 AM,211 W 4TH ST                                                                                        Austin TX 78701
Theft: BOV,08/22/2014 12:00:00 AM,3900 S MOPAC EXPY SVRD SB                                                                           Austin TX 78746
Theft: Shoplifting,10/01/2014 12:00:00 AM,1030 NORWOOD PARK BLVD                                                                              Austin TX 78753
Theft: All Other Larceny,03/28/2014 12:00:00 AM,9606 N MOPAC EXPY SVRD NB                                                                           Austin TX 78759
Theft: Shoplifting,11/10/2014 12:00:00 AM,2601 MANOR RD                                                                                       Austin TX 78722
Theft: BOV,06/22/2014 12:00:00 AM,621 KEMP ST                                                                                         Austin TX 78741
Aggravated Assault,10/27/2014 12:00:00 AM,5751 PALO BLANCO LN                                                                                 Austin TX 78744
Burglary: Breaking & Entering,08/28/2014 12:00:00 AM,8310 BOWLING GREEN DR                                                                               Austin TX 78757
Theft: All Other Larceny,01/13/2014 12:00:00 AM,5206 S PLEASANT VALLEY RD                                                                           Austin TX 78744
Burglary: Breaking & Entering,03/17/2014 12:00:00 AM,11404 KINGSGATE DR                                                                                  Austin TX 78748
Robbery,08/11/2014 12:00:00 AM,600 BLOCK E POWELL LN                                                                               Austin TX 78753
Aggravated Assault,11/21/2014 12:00:00 AM,5413 MANCHACA RD                                                                                    Austin TX 78745
Burglary: Breaking & Entering,01/22/2014 12:00:00 AM,12000 DESSAU RD                                                                                     Austin TX 78753
Theft: BOV,12/01/2014 12:00:00 AM,10850 STONELAKE BLVD                                                                                Austin TX 78759
Theft: BOV,03/19/2014 12:00:00 AM,3609 SAWMILL DR                                                                                     Austin TX 78749
Theft: All Other Larceny,02/08/2014 12:00:00 AM,1200 BARBARA JORDAN BLVD                                                                            Austin TX 78723
Theft: All Other Larceny,12/31/2014 12:00:00 AM,9705 RESEARCH BLVD NB                                                                               Austin TX 78759
Theft: Shoplifting,04/25/2014 12:00:00 AM,10107 RESEARCH BLVD NB                                                                              Austin TX 78759
Theft: BOV,12/11/2014 12:00:00 AM,5201 AIRPORT BLVD                                                                                   Austin TX 78751
Theft: All Other Larceny,11/19/2014 12:00:00 AM,3408 WEST AVE                                                                                       Austin TX 78705
Theft: All Other Larceny,01/17/2014 12:00:00 AM,6608 CLUBWAY LN                                                                                     Austin TX 78745
Theft: Shoplifting,10/27/2014 12:00:00 AM,12900 N IH 35 SVRD SB                                                                               Austin TX 78753
Theft: Shoplifting,09/16/2014 12:00:00 AM,8601 RESEARCH BLVD NB                                                                               Austin TX 78758
Theft: All Other Larceny,12/06/2014 12:00:00 AM,206 E 4TH ST                                                                                        Austin TX 78701
Theft: All Other Larceny,12/01/2014 12:00:00 AM,9318 N IH 35 SVRD SB                                                                                Austin TX 78753
Theft: Auto Theft,06/05/2014 12:00:00 AM,11700 METRIC BLVD                                                                                   Austin TX 78758
Theft: BOV,09/02/2014 12:00:00 AM,11512 POWDER MILL TRL                                                                               Austin TX 78750
Burglary: Breaking & Entering,05/05/2014 12:00:00 AM,13729 N US 183 HWY SVRD NB                                                                          Austin TX 78729
Theft: Shoplifting,08/06/2014 12:00:00 AM,2508 E RIVERSIDE DR                                                                                 Austin TX 78741
Theft: Auto Theft,08/08/2014 12:00:00 AM,629 W BEN WHITE BLVD EB                                                                             Austin TX 78745
Theft: All Other Larceny,09/26/2014 12:00:00 AM,9500 S IH 35 SB                                                                                     Austin TX 78748
Burglary: Breaking & Entering,09/04/2014 12:00:00 AM,5313 PARK AT WOODLANDS DR                                                                           Austin TX 78724
Theft: BOV,04/09/2014 12:00:00 AM,9601 S IH 35 SVRD NB                                                                                Austin TX 78744
Burglary: Breaking & Entering,11/04/2014 12:00:00 AM,5203 AVENUE F                                                                                       Austin TX 78751
Theft: BOV,01/15/2014 12:00:00 AM,MANCHACA RD / W WILLIAM CANNON DR                                                                   Austin TX 78745
Aggravated Assault,05/10/2014 12:00:00 AM,4806 TURNSTONE DR                                                                                   Austin TX 78744
Theft: BOV,12/24/2014 12:00:00 AM,7604 N IH 35 SVRD SB                                                                                Austin TX 78752
Theft: BOV,12/22/2014 12:00:00 AM,4803 PHILCO DR                                                                                      Austin TX 78745
Theft: All Other Larceny,11/12/2014 12:00:00 AM,8225 N FM 620 RD                                                                                    Austin TX 78726
Theft: BOV,06/21/2014 12:00:00 AM,4701 STAGGERBRUSH RD                                                                                Austin TX 78749
Theft: BOV,08/25/2014 12:00:00 AM,7000 ARDATH ST                                                                                      Austin TX 78757
Theft: All Other Larceny,05/22/2014 12:00:00 AM,5430 W US 290 HWY WB                                                                                Austin TX 78735
Theft: BOV,03/15/2014 12:00:00 AM,E 3RD ST / CHALMERS AVE                                                                             Austin TX 78702
Theft: Shoplifting,10/17/2014 12:00:00 AM,13201 N FM 620 RD NB                                                                                Austin TX 78729
Theft: Shoplifting,10/18/2014 12:00:00 AM,1030 NORWOOD PARK BLVD                                                                              Austin TX 78753
Theft: BOV,12/16/2014 12:00:00 AM,9971 QUAIL BLVD                                                                                     Austin TX 78758
Theft: BOV,06/07/2014 12:00:00 AM,8312 N IH 35 SB                                                                                     Austin TX 78753
Theft: All Other Larceny,03/22/2014 12:00:00 AM,2338 GUADALUPE ST                                                                                   Austin TX 78705
Theft: BOV,09/29/2014 12:00:00 AM,9112 CURLEW DR                                                                                      Austin TX 78748
Theft: BOV,11/11/2014 12:00:00 AM,1412 BRAES RIDGE DR                                                                                 Austin TX 78723
Theft: Shoplifting,04/04/2014 12:00:00 AM,11200 LAKELINE MALL DR                                                                              Austin TX 78613
Aggravated Assault,12/28/2014 12:00:00 AM,6121 N IH 35 SVRD NB                                                                                Austin TX 78752
Theft: BOV,05/30/2014 12:00:00 AM,12001 DESSAU RD                                                                                     Austin TX 78754
Theft: Auto Theft,03/10/2014 12:00:00 AM,800 BLOCK SPENCE ST                                                                                 Austin TX 78702
Theft: All Other Larceny,02/27/2014 12:00:00 AM,2803 WICKERSHAM LN                                                                                  Austin TX 78741
Theft: All Other Larceny,08/26/2014 12:00:00 AM,2005 WILLOW CREEK DR                                                                                Austin TX 78741
Theft: All Other Larceny,07/15/2014 12:00:00 AM,2110 THRASHER LN                                                                                    Austin TX 78741
Theft: Shoplifting,08/01/2014 12:00:00 AM,12900 N IH 35 SVRD SB                                                                               Austin TX 78753
Theft: All Other Larceny,05/15/2014 12:00:00 AM,9624 NEWFOUNDLAND CIR                                                                               Austin TX 78758
Theft: All Other Larceny,08/16/2014 12:00:00 AM,906 HILL WOOD DR                                                                                    Austin TX 78745
Theft: Shoplifting,10/19/2014 12:00:00 AM,5621 N IH 35 SVRD NB                                                                                Austin TX 78723
Burglary: Breaking & Entering,03/26/2014 12:00:00 AM,1709 CRICKET HOLLOW DR                                                                              Austin TX 78758
Theft: All Other Larceny,06/13/2014 12:00:00 AM,1030 NORWOOD PARK BLVD                                                                              Austin TX 78753
Burglary: Breaking & Entering,05/19/2014 12:00:00 AM,9018 TUSCANY WAY                                                                                    Austin TX 78754
Burglary: Breaking & Entering,07/26/2014 12:00:00 AM,2201 BARTON SPRINGS RD                                                                              Austin TX 78746
Theft: Shoplifting,04/15/2014 12:00:00 AM,6001 W PARMER LN                                                                                    Austin TX 78727
Theft: Auto Theft,02/13/2014 12:00:00 AM,2001 E STASSNEY LN                                                                                  Austin TX 78744
Theft: All Other Larceny,07/25/2014 12:00:00 AM,4509 E ST ELMO RD                                                                                   Austin TX 78744
Theft: All Other Larceny,10/19/2014 12:00:00 AM,3100 FOXFIRE DR                                                                                     Austin TX 78746
Theft: BOV,05/02/2014 12:00:00 AM,658 E RUNDBERG LN                                                                                   Austin TX 78753
Theft: BOV,02/24/2014 12:00:00 AM,1500 CROSSING PL                                                                                    Austin TX 78741
Theft: All Other Larceny,05/14/2014 12:00:00 AM,4404 W WILLIAM CANNON DR                                                                            Austin TX 78749
Theft: Auto Theft,12/19/2014 12:00:00 AM,1134 AIRPORT BLVD                                                                                   Austin TX 78702
Robbery,07/02/2014 12:00:00 AM,300 CARMEN CT                                                                                       Austin TX 78752
Theft: All Other Larceny,03/25/2014 12:00:00 AM,8400 RESEARCH BLVD SB                                                                               Austin TX 78757
Burglary: Breaking & Entering,04/30/2014 12:00:00 AM,12217 LITTLE FATIMA LN                                                                              Austin TX 78753
Theft: Pocket Picking,02/04/2014 12:00:00 AM,E 6TH ST / TRINITY ST                                                                               Austin TX 78701
Theft: All Other Larceny,11/04/2014 12:00:00 AM,1182 OAK GROVE AVE                                                                                  Austin TX 78702
Theft: Shoplifting,01/15/2014 12:00:00 AM,710 E BEN WHITE BLVD SVRD WB                                                                        Austin TX 78704
Theft: All Other Larceny,10/23/2014 12:00:00 AM,1600 CITY PARK RD                                                                                   Austin TX 78730
Theft: All Other Larceny,07/16/2014 12:00:00 AM,5510 S IH 35 SVRD SB                                                                                Austin TX 78745
Theft: Shoplifting,08/25/2014 12:00:00 AM,1000 E 41ST ST                                                                                      Austin TX 78751
Aggravated Assault,06/29/2014 12:00:00 AM,JUSTIN LN / N LAMAR BLVD                                                                            Austin TX 78752
Theft: All Other Larceny,09/10/2014 12:00:00 AM,1823 FORT VIEW RD                                                                                   Austin TX 78704
Theft: BOV,11/17/2014 12:00:00 AM,1916 DAVID ST                                                                                       Austin TX 78705
Theft: Shoplifting,11/26/2014 12:00:00 AM,1201 BARBARA JORDAN BLVD                                                                            Austin TX 78723
Theft: BOV,10/05/2014 12:00:00 AM,9920 QUAIL BLVD                                                                                     Austin TX 78758
Burglary: Breaking & Entering,02/02/2014 12:00:00 AM,1803 WILLOW ST                                                                                      Austin TX 78702
Theft: from Building,11/13/2014 12:00:00 AM,4711 RUIZ ST                                                                                        Austin TX 78723
Theft: All Other Larceny,02/18/2014 12:00:00 AM,6811 BRODIE LN                                                                                      Austin TX 78745
Theft: Shoplifting,12/24/2014 12:00:00 AM,2901 S CAPITAL OF TEXAS HWY NB                                                                      Austin TX 78746
Theft: All Other Larceny,05/19/2014 12:00:00 AM,1601 MONTOPOLIS DR                                                                                  Austin TX 78741
Theft: All Other Larceny,11/08/2014 12:00:00 AM,5411 MANOR RD                                                                                       Austin TX 78723
Theft: Auto Theft,02/07/2014 12:00:00 AM,8400 RESEARCH BLVD SB                                                                               Austin TX 78757
Theft: Shoplifting,04/21/2014 12:00:00 AM,2110 W SLAUGHTER LN                                                                                 Austin TX 78748
Theft: from Building,12/03/2014 12:00:00 AM,207 SAN JACINTO BLVD                                                                                Austin TX 78701
Theft: Shoplifting,11/22/2014 12:00:00 AM,11200 LAKELINE MALL DR                                                                              Austin TX 78613
Theft: BOV,11/17/2014 12:00:00 AM,1704 NELMS DR                                                                                       Austin TX 78744
Burglary: Breaking & Entering,06/18/2014 12:00:00 AM,9700 EASTWEND DR                                                                                    Austin TX 78753
Burglary: Breaking & Entering,11/17/2014 12:00:00 AM,2005 WILLOW CREEK DR                                                                                Austin TX 78741
Theft: All Other Larceny,12/02/2014 12:00:00 AM,4001 GUADALUPE ST                                                                                   Austin TX 78751
Theft: from Building,10/30/2014 12:00:00 AM,1817 E OLTORF ST                                                                                    Austin TX 78741
Theft: All Other Larceny,06/02/2014 12:00:00 AM,9218 BALCONES CLUB DR                                                                               Austin TX 78750
Theft: Shoplifting,11/01/2014 12:00:00 AM,11200 LAKELINE MALL DR                                                                              Austin TX 78613
Theft: BOV,08/06/2014 12:00:00 AM,10515 N MOPAC EXPY NB                                                                               Austin TX 78758
Theft: All Other Larceny,10/23/2014 12:00:00 AM,1405 E 34TH ST                                                                                      Austin TX 78722
Theft: All Other Larceny,09/17/2014 12:00:00 AM,2224 WALSH TARLTON LN                                                                               Austin TX 78746
Theft: All Other Larceny,09/29/2014 12:00:00 AM,6911 N IH 35 NB                                                                                     Austin TX 78752
Theft: BOV,01/14/2014 12:00:00 AM,11712 GAELIC DR                                                                                     Austin TX 78754
Theft: BOV,09/07/2014 12:00:00 AM,2600 BLOCK N LAMAR BLVD                                                                             Austin TX 78705
Theft: Auto Parts,09/06/2014 12:00:00 AM,3625 DUVAL RD                                                                                       Austin TX 78759
Theft: Shoplifting,12/24/2014 12:00:00 AM,9300 S IH 35 SVRD SB                                                                                Austin TX 78748
Theft: All Other Larceny,08/21/2014 12:00:00 AM,608 KAWNEE DR                                                                                       Austin TX 78752
Theft: All Other Larceny,02/20/2014 12:00:00 AM,E 6TH ST / TRINITY ST                                                                               Austin TX 78701
Theft: Auto Theft,06/15/2014 12:00:00 AM,1026 CLAYTON LN                                                                                     Austin TX 78723
Theft: All Other Larceny,07/12/2014 12:00:00 AM,9300 S IH 35 SVRD SB                                                                                Austin TX 78748
Theft: Coin Op Machine,02/26/2014 12:00:00 AM,2600 SCOFIELD RIDGE PKWY                                                                            Austin TX 78727
Theft: All Other Larceny,06/19/2014 12:00:00 AM,500 E 7TH ST                                                                                        Austin TX 78701
Theft: All Other Larceny,04/22/2014 12:00:00 AM,5801 AINEZ DR                                                                                       Austin TX 78744
Theft: BOV,02/17/2014 12:00:00 AM,9036 N LAMAR BLVD                                                                                   Austin TX 78758
Theft: BOV,10/15/2014 12:00:00 AM,8565 RESEARCH BLVD NB                                                                               Austin TX 78758
Theft: All Other Larceny,11/24/2014 12:00:00 AM,5700 CAMERON RD                                                                                     Austin TX 78723
Theft: Pocket Picking,10/06/2014 12:00:00 AM,E 18TH ST / BRAZOS ST                                                                               Austin TX 78701
Burglary: Breaking & Entering,06/07/2014 12:00:00 AM,1307 ALGUNO RD                                                                                      Austin TX 78757
Burglary: Breaking & Entering,08/04/2014 12:00:00 AM,1704 NELMS DR                                                                                       Austin TX 78744
Theft: All Other Larceny,06/02/2014 12:00:00 AM,1045 REINLI ST                                                                                      Austin TX 78723
Burglary: Breaking & Entering,02/27/2014 12:00:00 AM,7928 ROCKWOOD LN                                                                                    Austin TX 78757
Theft: All Other Larceny,03/05/2014 12:00:00 AM,1200 BARTON HILLS DR                                                                                Austin TX 78704
Burglary: Breaking & Entering,11/23/2014 12:00:00 AM,2124 BURTON DR                                                                                      Austin TX 78741
Theft: Auto Theft,06/17/2014 12:00:00 AM,4801 S IH 35 SVRD NB                                                                                Austin TX 78744
Theft: All Other Larceny,06/24/2014 12:00:00 AM,500 E RIVERSIDE DR                                                                                  Austin TX 78704
Theft: BOV,11/03/2014 12:00:00 AM,6100 LANGHAM ST                                                                                     Austin TX 78741
Burglary: Breaking & Entering,03/31/2014 12:00:00 AM,1906 POMPTON DR                                                                                     Austin TX 78757
Theft: BOV,02/24/2014 12:00:00 AM,9505 BEAR PAW TRL                                                                                   Austin TX 78617
Theft: All Other Larceny,09/01/2014 12:00:00 AM,910 W 26TH ST                                                                                       Austin TX 78705
Theft: Pocket Picking,12/07/2014 12:00:00 AM,8630 N LAMAR BLVD                                                                                   Austin TX 78758
Theft: All Other Larceny,05/12/2014 12:00:00 AM,505 BELLEVUE PL                                                                                     Austin TX 78705
Theft: All Other Larceny,10/04/2014 12:00:00 AM,13609 N IH 35 SVRD NB                                                                               Austin TX 78753
Burglary: Breaking & Entering,10/14/2014 12:00:00 AM,6312 TAYLORCREST DR                                                                                 Austin TX 78749
Theft: Shoplifting,11/14/2014 12:00:00 AM,1000 E 41ST ST                                                                                      Austin TX 78751
Burglary: Breaking & Entering,02/03/2014 12:00:00 AM,8005 GEORGIAN DR                                                                                    Austin TX 78753
Theft: All Other Larceny,09/01/2014 12:00:00 AM,1010 TURTLE CREEK BLVD                                                                              Austin TX 78745
Theft: Auto Theft,07/15/2014 12:00:00 AM,4100 VICTORY DR                                                                                     Austin TX 78704
Theft: All Other Larceny,06/17/2014 12:00:00 AM,E 45TH ST / AVENUE G                                                                                Austin TX 78751
Theft: BOV,06/26/2014 12:00:00 AM,14010 N US 183 HWY SVRD SB                                                                          Austin TX 78613
Theft: All Other Larceny,11/19/2014 12:00:00 AM,9300 BLOCK S IH 35 SVRD SB                                                                          Austin TX 78748
Theft: BOV,08/14/2014 12:00:00 AM,2301 STRATFORD DR                                                                                   Austin TX 78746
Robbery,04/10/2014 12:00:00 AM,710 E BEN WHITE BLVD SVRD WB                                                                        Austin TX 78704
Theft: Auto Theft,01/16/2014 12:00:00 AM,7522 N IH 35 SB                                                                                     Austin TX 78752
Theft: BOV,07/08/2014 12:00:00 AM,2606 WHELESS LN                                                                                     Austin TX 78723
Theft: Auto Theft,06/02/2014 12:00:00 AM,2410 E RIVERSIDE DR                                                                                 Austin TX 78741
Burglary: Breaking & Entering,12/20/2014 12:00:00 AM,4700 E RIVERSIDE DR                                                                                 Austin TX 78741
Theft: from Building,03/07/2014 12:00:00 AM,701 W RIVERSIDE DR                                                                                  Austin TX 78704
Theft: All Other Larceny,06/28/2014 12:00:00 AM,1511 E 6TH ST                                                                                       Austin TX 78702
Theft: All Other Larceny,04/23/2014 12:00:00 AM,7715 E BEN WHITE BLVD EB                                                                            Austin TX 78744
Theft: BOV,12/04/2014 12:00:00 AM,6201 SNEED CV                                                                                       Austin TX 78744
Theft: All Other Larceny,04/07/2014 12:00:00 AM,2603 JONES RD                                                                                       Austin TX 78745
Theft: BOV,12/02/2014 12:00:00 AM,10850 STONELAKE BLVD                                                                                Austin TX 78759
Theft: BOV,06/14/2014 12:00:00 AM,15424 FM 1825 RD                                                                                    Austin TX 78660
Theft: BOV,05/11/2014 12:00:00 AM,8100 N MOPAC EXPY SVRD SB                                                                           Austin TX 78759
Theft: Shoplifting,01/05/2014 12:00:00 AM,8900 N LAMAR BLVD                                                                                   Austin TX 78758
Theft: BOV,11/03/2014 12:00:00 AM,1624 BARTON SPRINGS RD                                                                              Austin TX 78704
Theft: BOV,10/29/2014 12:00:00 AM,6200 SHADOW BND                                                                                     Austin TX 78745
Burglary: Breaking & Entering,05/11/2014 12:00:00 AM,5806 BURNET RD                                                                                      Austin TX 78756
Theft: All Other Larceny,03/21/2014 12:00:00 AM,6300 E US 290 HWY SVRD WB                                                                           Austin TX 78752
Theft: BOV,10/08/2014 12:00:00 AM,1748 OHLEN RD                                                                                       Austin TX 78757
Theft: Pocket Picking,12/18/2014 12:00:00 AM,3206 RIVA RIDGE RD                                                                                  Austin TX 78746
Theft: All Other Larceny,02/26/2014 12:00:00 AM,3735 N IH 35 SVRD NB                                                                                Austin TX 78722
Theft: Shoplifting,05/29/2014 12:00:00 AM,14028 N US 183 HWY SVRD SB                                                                          Austin TX 78613
Burglary: Breaking & Entering,01/30/2014 12:00:00 AM,6004 ABILENE TRL                                                                                    Austin TX 78749
Burglary: Breaking & Entering,11/14/2014 12:00:00 AM,4810 ROUNDUP TRL                                                                                    Austin TX 78745
Theft: All Other Larceny,08/12/2014 12:00:00 AM,9616 N LAMAR BLVD                                                                                   Austin TX 78758
Theft: All Other Larceny,05/10/2014 12:00:00 AM,1000 E 41ST ST                                                                                      Austin TX 78751
Theft: All Other Larceny,06/24/2014 12:00:00 AM,1201 BARBARA JORDAN BLVD                                                                            Austin TX 78723
Theft: BOV,09/17/2014 12:00:00 AM,20 N IH 35 SB                                                                                       Austin TX 78701
Theft: BOV,07/08/2014 12:00:00 AM,3220 FEATHERGRASS CT                                                                                Austin TX 78758
Burglary: Breaking & Entering,02/25/2014 12:00:00 AM,900 CHICON ST                                                                                       Austin TX 78702
Theft: All Other Larceny,10/21/2014 12:00:00 AM,2222 RIO GRANDE ST                                                                                  Austin TX 78705
Theft: Shoplifting,12/20/2014 12:00:00 AM,9300 S IH 35 SVRD SB                                                                                Austin TX 78748
Theft: All Other Larceny,05/13/2014 12:00:00 AM,W 4TH ST / CONGRESS AVE                                                                             Austin TX 78701
Theft: All Other Larceny,05/11/2014 12:00:00 AM,800 BLOCK N PLEASANT VALLEY RD                                                                      Austin TX 78702
Theft: All Other Larceny,05/06/2014 12:00:00 AM,11104 OAK VIEW DR                                                                                   Austin TX 78759
Theft: BOV,09/03/2014 12:00:00 AM,10001 S 1ST ST                                                                                      Austin TX 78748
Theft: BOV,03/21/2014 12:00:00 AM,2510 ONION CREEK PKWY                                                                               Austin TX 78747
Burglary: Breaking & Entering,10/14/2014 12:00:00 AM,201 W STASSNEY LN                                                                                   Austin TX 78745
Theft: Auto Theft,06/26/2014 12:00:00 AM,1100 ROBERT E LEE RD                                                                                Austin TX 78704
Theft: Pocket Picking,08/04/2014 12:00:00 AM,700 E LIVE OAK ST                                                                                   Austin TX 78704
Theft: All Other Larceny,01/20/2014 12:00:00 AM,1415 S MEADOWS DR                                                                                   Austin TX 78758
Theft: BOV,01/31/2014 12:00:00 AM,6702 BRANCHWOOD DR                                                                                  Austin TX 78744
Aggravated Assault,02/19/2014 12:00:00 AM,1521 REAGAN HILL DR                                                                                 Austin TX 78752
Theft: Auto Parts,04/14/2014 12:00:00 AM,1303 QUAILFIELD CIR                                                                                 Austin TX 78758
Aggravated Assault,07/03/2014 12:00:00 AM,2705 WHELESS LN                                                                                     Austin TX 78723
Theft: All Other Larceny,09/16/2014 12:00:00 AM,E 12TH ST / RED RIVER ST                                                                            Austin TX 78701
Theft: Auto Theft,01/08/2014 12:00:00 AM,7010 W SH 71                                                                                        Austin TX 78735
Theft: Auto Theft,09/11/2014 12:00:00 AM,1800 E STASSNEY LN                                                                                  Austin TX 78744
Burglary: Breaking & Entering,03/29/2014 12:00:00 AM,2114 W SLAUGHTER LN                                                                                 Austin TX 78748
